,Unnamed: 0,DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID,Days
0,3141,1989-10-18 00:07:15.290,37.2382,-121.9445,9.37,4.7,ML,8,81.0,16.0,0.16,NC,10090521.0,0.0
1,3142,1989-10-18 00:07:43.300,36.988,-121.7413,15.26,4.7,ML,12,121.0,8.0,0.06,NC,10090522.0,0.0
2,3143,1989-10-18 00:08:21.990,37.0702,-121.894,10.43,4.4,ML,11,133.0,7.0,0.16,NC,10090523.0,0.0
3,3144,1989-10-18 00:08:45.470,37.076,-121.925,2.96,4.3,ML,6,248.0,14.0,0.03,NC,10090509.0,0.0
4,3145,1989-10-18 00:09:29.530,37.1577,-121.961,1.62,3.41,Mx,5,237.0,19.0,0.02,NC,10090510.0,0.0
5,3146,1989-10-18 00:09:55.910,37.0333,-121.7245,4.57,4.0,ML,7,130.0,39.0,0.08,NC,10090511.0,0.0
6,3147,1989-10-18 00:11:45.390,37.1662,-121.986,9.43,4.2,ML,16,82.0,4.0,0.04,NC,10090512.0,0.0
7,3148,1989-10-18 00:12:42.300,37.176,-121.9782,5.19,4.6,ML,18,183.0,5.0,0.05,NC,10090513.0,0.0
8,3149,1989-10-18 00:13:08.670,37.1748,-122.0335,11.31,4.32,Mx,17,68.0,1.0,0.14,NC,10090503.0,0.0
9,3150,1989-10-18 00:15:10.890,37.0057,-121.7867,14.39,4.4,ML,33,97.0,5.0,0.09,NC,10090504.0,0.0
10,3151,1989-10-18 00:15:48.780,37.1613,-122.0005,7.15,2.55,Md,8,149.0,3.0,0.04,NC,10090505.0,0.0
11,3152,1989-10-18 00:16:14.520,37.1835,-121.9632,1.59,3.26,Md,12,114.0,6.0,0.04,NC,10090506.0,0.0
12,3153,1989-10-18 00:16:34.790,37.1682,-121.994,8.39,2.96,Md,20,59.0,3.0,0.08,NC,10090507.0,0.0
13,3154,1989-10-18 00:16:54.470,37.0982,-121.9097,3.38,4.1,ML,27,98.0,13.0,0.11,NC,10090508.0,0.0
14,3155,1989-10-18 00:17:13.540,37.1352,-122.0075,12.21,3.39,Mx,10,115.0,4.0,0.07,NC,10090497.0,0.0
15,3156,1989-10-18 00:17:33.270,37.201,-121.991,9.13,4.0,ML,12,186.0,6.0,0.08,NC,10090498.0,0.0
16,3157,1989-10-18 00:17:56.770,37.1417,-122.0525,22.2,3.25,Mx,4,199.0,10.0,0.01,NC,10090499.0,0.0
17,3158,1989-10-18 00:19:01.450,37.1612,-121.8715,5.32,2.55,Md,11,120.0,11.0,0.4,NC,10090500.0,0.0
18,3159,1989-10-18 00:19:17.230,37.163,-121.9817,10.16,4.0,ML,34,93.0,4.0,0.04,NC,10090501.0,0.0
19,3160,1989-10-18 00:20:32.530,37.1695,-121.9803,6.03,3.19,Md,19,82.0,4.0,0.04,NC,10090491.0,0.0
20,3161,1989-10-18 00:21:04.280,37.0728,-121.8682,7.56,3.5,ML,19,138.0,18.0,0.05,NC,10090492.0,0.0
21,3162,1989-10-18 00:22:07.050,37.095,-121.8848,6.96,2.94,Md,13,75.0,5.0,0.02,NC,10090493.0,0.0
22,3163,1989-10-18 00:22:30.300,37.0395,-121.8342,12.56,3.11,Md,6,139.0,7.0,0.03,NC,10090494.0,0.0
23,3164,1989-10-18 00:22:56.140,36.9437,-121.6783,6.49,3.6,Md,38,93.0,10.0,0.09,NC,10090495.0,0.0
24,3165,1989-10-18 00:23:37.530,37.0443,-121.7622,7.16,3.9,ML,44,69.0,10.0,0.1,NC,10090484.0,0.0
25,3166,1989-10-18 00:24:35.830,37.191,-122.0335,7.98,3.5,ML,54,56.0,3.0,0.59,NC,10090485.0,0.0
